################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.3384650787247133E-01 a       266     0    14     1     6
 -1.2690527863988063E-01 a       267     0    14     1     7
  9.5065779846820783E-02 a       268     0    14     1     8
  8.4751112106360771E-02 a       269     0    14     1     9
 -4.3243636665153362E-01 a       270     0    14     1    10
 -1.7485405276488603E-01 a       271     0    14     1    11
 -2.3791975053014650E-01 a       272     0    14     1    12
 -3.4031838568218925E-01 a       273     0    14     1    13
 -2.9576806322792543E-01 a       274     0    14     1    14
 -2.3864282982784529E-01 a       275     0    14     1    15
 -6.5384730763214513E-03 a       276     0    14     1    16
  5.8281919143929106E-01 a       277     0    14     1    17
  1.2869519763860571E-01 a       278     0    14     1    18
 -3.2206956076945331E-01 a       279     0    14     1    19
  7.7686266183830099E-01 a       280     0    14     1    20
  5.8530598488812580E-01 a       281     0    15     1     1
 -3.7531537057434605E-01 a       282     0    15     1     2
  2.0904635820144427E-01 a       283     0    15     1     3
 -1.4510404419700246E-01 a       284     0    15     1     4
 -4.1139819179922321E-01 a       285     0    15     1     5
  4.9854127695076439E-01 a       286     0    15     1     6
 -6.9154248061951673E-01 a       287     0    15     1     7
 -2.3695918524691331E-01 a       288     0    15     1     8
 -3.9109747337979983E-01 a       289     0    15     1     9
  2.1135662245866724E-01 a       290     0    15     1    10
  1.1503502582533047E-01 a       291     0    15     1    11
  5.4683431715299297E-02 a       292     0    15     1    12
 -5.8752078588726997E-01 a       293     0    15     1    13
  1.9647609415599676E-01 a       294     0    15     1    14
  4.9033457015723336E-01 a       295     0    15     1    15
 -2.2954665147170317E-02 a       296     0    15     1    16
 -3.5177694196968845E-01 a       297     0    15     1    17
 -5.2564490554535652E-02 a       298     0    15     1    18
 -4.6275332138179602E-02 a       299     0    15     1    19
 -8.2240539080032682E-01 a       300     0    15     1    20
 -6.6505450328026539E-01 a       301     0    16     1     1
  3.4147377533106782E-01 a       302     0    16     1     2
  4.8978295438294128E-02 a       303     0    16     1     3
 -2.6654694287958330E-01 a       304     0    16     1     4
 -2.5980419774613162E-01 a       305     0    16     1     5
  1.0831241866504523E-01 a       306     0    16     1     6
 -8.9475453536832161E-01 a       307     0    16     1     7
 -2.6007195098726971E-01 a       308     0    16     1     8
  6.3918581430791807E-02 a       309     0    16     1     9
 -3.4491530207376009E-01 a       310     0    16     1    10
 -2.2294985831120395E-02 a       311     0    16     1    11
 -3.7433776904379557E-01 a       312     0    16     1    12
  5.8696438536221440E-01 a       313     0    16     1    13
  4.8187154685875971E-01 a       314     0    16     1    14
  6.7225248641390664E-02 a       315     0    16     1    15
 -3.2363818903890257E-01 a       316     0    16     1    16
 -2.8438578394515007E-01 a       317     0    16     1    17
 -1.0161512362934879E-02 a       318     0    16     1    18
  4.9390438177742885E-01 a       319     0    16     1    19
  6.5472119175081767E-01 a       320     0    16     1    20
  1.5520040610424837E-01 a       321     0    17     1     1
 -4.9294854367387103E-01 a       322     0    17     1     2
  3.6689082316557997E-01 a       323     0    17     1     3
  2.6070593641090184E-01 a       324     0    17     1     4
  3.5682687027775917E-01 a       325     0    17     1     5
 -3.2292695994817316E-01 a       326     0    17     1     6
  8.7609922172209542E-01 a       327     0    17     1     7
 -2.8337658475951161E-01 a       328     0    17     1     8
 -2.8277344128276877E-01 a       329     0    17     1     9
 -1.7222738749050040E-01 a       330     0    17     1    10
  3.7895380285599280E-02 a       331     0    17     1    11
 -9.7535564149380931E-05 a       332     0    17     1    12
 -4.6695674026423779E-02 a       333     0    17     1    13
  8.1349363984110123E-01 a       334     0    17     1    14
  4.3716828501026417E-01 a       335     0    17     1    15
 -2.6601852559872274E-01 a       336     0    17     1    16
 -1.9908560537894690E-01 a       337     0    17     1    17
  1.1952238101304744E-01 a       338     0    17     1    18
 -1.0479802148065744E-01 a       339     0    17     1    19
  3.4022822408729791E-01 a       340     0    17     1    20
 -1.3616093589316550E-01 a       341     0    18     1     1
  2.2822936155528500E-01 a       342     0    18     1     2
 -1.9086530540699304E-01 a       343     0    18     1     3
  2.9306157623821716E-01 a       344     0    18     1     4
  3.3874825812868392E-01 a       345     0    18     1     5
